name,param:col,param:device,param:group,param:predicate,param:return_mask,param:scale,param:tensor_cls,col,op,pred,val,tuple_count,query_result_size,tuple_element_size_bytes,total_size_bytes,stage,error,min,max,mean,stddev,median,iqr,outliers,ops,rounds,iterations
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[0.1-l_shipmode-eq-cpu-DictionaryEncoding-mask],l_shipmode,cpu,,eq,True,0.1,DictionaryEncoding,l_shipmode,FilterScan,Eq,TRUCK,600572,600572,8,4804576,,,0.00015249010175466537,0.0031520009506493807,0.0001715693508842981,5.239025521860633e-05,0.0001699831336736679,7.5339339673519135e-06,11;241,5828.546852021222,6226,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[0.1-l_shipmode-eq-cuda-UnsortedDictionaryEncoding-mask],l_shipmode,cuda,,eq,True,0.1,UnsortedDictionaryEncoding,l_shipmode,FilterScan,Eq,TRUCK,600572,600572,8,4804576,,,0.00016189692541956902,0.0003231221344321966,0.00016648198158358534,5.786426213185388e-06,0.00016539404168725014,2.2847671061754227e-06,357;522,6006.656038617199,5954,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[0.2-l_shipmode-eq-cuda-UnsortedDictionaryEncoding-mask],l_shipmode,cuda,,eq,True,0.2,UnsortedDictionaryEncoding,l_shipmode,FilterScan,Eq,TRUCK,1199969,1199969,8,9599752,,,0.0001622780691832304,0.00030522909946739674,0.00016771713117112377,5.404404756428595e-06,0.0001668771728873253,2.0131119526922703e-06,408;589,5962.420135720591,5993,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[0.2-l_shipmode-eq-cpu-DictionaryEncoding-mask],l_shipmode,cpu,,eq,True,0.2,DictionaryEncoding,l_shipmode,FilterScan,Eq,TRUCK,1199969,1199969,8,9599752,,,0.00019115302711725235,0.003492455929517746,0.00021725261752610382,8.130287254296697e-05,0.0002131748478859663,1.4262215700000525e-05,7;122,4602.936486506755,4461,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[0.1-l_shipmode-eq-cuda-UnsortedDictionaryEncoding-index],l_shipmode,cuda,,eq,False,0.1,UnsortedDictionaryEncoding,l_shipmode,FilterScan,Eq,TRUCK,600572,85953,8,4804576,,,0.00022378400899469852,0.00040542916394770145,0.00023001726538312737,9.051676294186934e-06,0.0002280930057168007,2.3851171135902405e-06,245;544,4347.499733701963,4311,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[0.2-l_shipmode-eq-cuda-UnsortedDictionaryEncoding-index],l_shipmode,cuda,,eq,False,0.2,UnsortedDictionaryEncoding,l_shipmode,FilterScan,Eq,TRUCK,1199969,171624,8,9599752,,,0.00022477703168988228,0.00047967000864446163,0.0002312444672272028,9.575341887940432e-06,0.00022918498143553734,3.485940396785736e-06,226;437,4324.427788438622,4270,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[0.1-l_shipmode-eq-cuda-DictionaryEncoding-mask],l_shipmode,cuda,,eq,True,0.1,DictionaryEncoding,l_shipmode,FilterScan,Eq,TRUCK,600572,600572,8,4804576,,,0.00022863410413265228,0.00046653510071337223,0.00023469907983692957,8.648060228029387e-06,0.00023337313905358315,2.1138694137334824e-06,170;485,4260.775119761042,4307,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[0.2-l_shipmode-eq-cuda-DictionaryEncoding-mask],l_shipmode,cuda,,eq,True,0.2,DictionaryEncoding,l_shipmode,FilterScan,Eq,TRUCK,1199969,1199969,8,9599752,,,0.00022925506345927715,0.0003683490213006735,0.00023427236146065963,4.8553993551448854e-06,0.0002331775613129139,2.3239990696310997e-06,396;506,4268.535962864427,4288,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[0.3-l_shipmode-eq-cpu-DictionaryEncoding-mask],l_shipmode,cpu,,eq,True,0.30000000000000004,DictionaryEncoding,l_shipmode,FilterScan,Eq,TRUCK,1800093,1800093,8,14400744,,,0.00023094797506928444,0.0036762359086424112,0.0002526434720318968,5.615869200866052e-05,0.00024699908681213856,1.4418968930840492e-05,35;251,3958.146996466815,3994,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[0.4-l_shipmode-eq-cpu-DictionaryEncoding-mask],l_shipmode,cpu,,eq,True,0.4,DictionaryEncoding,l_shipmode,FilterScan,Eq,TRUCK,2399740,2399740,8,19197920,,,0.00027236691676080227,0.003581104800105095,0.0002995174227150101,6.795024903167688e-05,0.0002941279672086239,1.712801167741418e-05,21;96,3338.703942279501,2689,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[0.1-l_shipmode-eq-cuda-DictionaryEncoding-index],l_shipmode,cuda,,eq,False,0.1,DictionaryEncoding,l_shipmode,FilterScan,Eq,TRUCK,600572,85953,8,4804576,,,0.00028394884429872036,0.0004319299478083849,0.000289974042318237,5.641327946150267e-06,0.00028867810033261776,3.13599593937397e-06,286;295,3448.5845422761427,3410,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[0.2-l_shipmode-eq-cuda-DictionaryEncoding-index],l_shipmode,cuda,,eq,False,0.2,DictionaryEncoding,l_shipmode,FilterScan,Eq,TRUCK,1199969,171624,8,9599752,,,0.0002853709738701582,0.0006553130224347115,0.00029353489468397125,9.08410641463247e-06,0.00029107206501066685,7.655471563339233e-06,174;74,3406.749991603659,3373,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[0.1-l_shipmode-eq-cpu-UnsortedDictionaryEncoding-mask],l_shipmode,cpu,,eq,True,0.1,UnsortedDictionaryEncoding,l_shipmode,FilterScan,Eq,TRUCK,600572,600572,8,4804576,,,0.0002961119171231985,0.0012627160176634789,0.00032224390050577514,2.5261918447600672e-05,0.00032224145252257586,2.1150102838873863e-05,179;67,3103.239497878652,2570,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[0.5-l_shipmode-eq-cpu-DictionaryEncoding-mask],l_shipmode,cpu,,eq,True,0.5,DictionaryEncoding,l_shipmode,FilterScan,Eq,TRUCK,2999671,2999671,8,23997368,,,0.0003631799481809139,0.019196175038814545,0.00042722061835513914,0.0006557233963450279,0.00038434937596321106,2.3965956643223763e-05,8;84,2340.7109981024414,1964,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[0.1-l_shipmode-eq-cpu-DictionaryEncoding-index],l_shipmode,cpu,,eq,False,0.1,DictionaryEncoding,l_shipmode,FilterScan,Eq,TRUCK,600572,85953,8,4804576,,,0.0003714549820870161,0.0025341578293591738,0.00039077225781843257,4.831630897557347e-05,0.00038634310476481915,1.5732599422335625e-05,23;69,2559.035294835688,2281,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[0.1-l_shipmode-eq-cuda-UnsortedCDictionaryEncoding-mask],l_shipmode,cuda,,eq,True,0.1,UnsortedCDictionaryEncoding,l_shipmode,FilterScan,Eq,TRUCK,600572,600572,8,4804576,,,0.0003715150523930788,0.0005278210155665874,0.0003797305195692866,8.737938059019172e-06,0.00037819682620465755,3.4433905966579914e-06,113;224,2633.446479714774,2659,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[0.2-l_shipmode-eq-cuda-UnsortedCDictionaryEncoding-mask],l_shipmode,cuda,,eq,True,0.2,UnsortedCDictionaryEncoding,l_shipmode,FilterScan,Eq,TRUCK,1199969,1199969,8,9599752,,,0.0003718361258506775,0.0005292140413075686,0.00038040191267038614,1.0870058631808472e-05,0.0003782480489462614,4.318077117204666e-06,102;169,2628.7985593450167,2618,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[0.1-l_shipmode-eq-cpu-CDictionaryEncoding-mask],l_shipmode,cpu,,eq,True,0.1,CDictionaryEncoding,l_shipmode,FilterScan,Eq,TRUCK,600572,600572,8,4804576,,,0.0004021229688078165,0.001249510794878006,0.0004214078238377329,1.964510957728933e-05,0.0004201470874249935,1.1748692486435175e-05,58;37,2372.998182361843,2299,1
