name,param:col,param:device,param:group,param:predicate,param:return_mask,param:scale,param:tensor_cls,col,op,pred,val,tuple_count,query_result_size,tuple_element_size_bytes,total_size_bytes,stage,error,min,max,mean,stddev,median,iqr,outliers,ops,rounds,iterations
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[0.1-l_shipmode-prefix-cuda-UnsortedDictionaryEncoding-mask],l_shipmode,cuda,,prefix,True,0.1,UnsortedDictionaryEncoding,l_shipmode,FilterScan,Prefix,TRUCK,600572,600572,8,4804576,,,0.0001239750999957323,0.00029752403497695923,0.00012736298554015673,3.4772778341881527e-06,0.00012665009126067162,1.6279518604278564e-06,545;708,7851.574739386951,7852,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[0.2-l_shipmode-prefix-cuda-UnsortedDictionaryEncoding-mask],l_shipmode,cuda,,prefix,True,0.2,UnsortedDictionaryEncoding,l_shipmode,FilterScan,Prefix,TRUCK,1199969,1199969,8,9599752,,,0.00012436602264642715,0.0003316698130220175,0.00012867967887834601,6.936438856506873e-06,0.0001277630217373371,1.4920951798558235e-06,311;880,7771.23481125098,7796,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[0.1-l_shipmode-prefix-cuda-UnsortedDictionaryEncoding-index],l_shipmode,cuda,,prefix,False,0.1,UnsortedDictionaryEncoding,l_shipmode,FilterScan,Prefix,TRUCK,600572,85953,8,4804576,,,0.00018632388673722744,0.0003638099879026413,0.0001925714433108655,9.022694842233992e-06,0.00019019120372831821,2.394896000623703e-06,362;734,5192.877940815521,5199,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[0.2-l_shipmode-prefix-cuda-UnsortedDictionaryEncoding-index],l_shipmode,cuda,,prefix,False,0.2,UnsortedDictionaryEncoding,l_shipmode,FilterScan,Prefix,TRUCK,1199969,171624,8,9599752,,,0.00018810713663697243,0.0018029711209237576,0.00019436005494172115,2.4381234175190516e-05,0.00019140285439789295,3.8219732232391834e-06,80;533,5145.090128215131,5099,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[0.1-l_shipmode-lt-cpu-DictionaryEncoding-mask],l_shipmode,cpu,,lt,True,0.1,DictionaryEncoding,l_shipmode,FilterScan,Lt,TRUCK,600572,600572,8,4804576,,,0.00020995899103581905,0.021691781003028154,0.00039620054271745917,0.0014072054164640747,0.00023202085867524147,1.274963142350316e-05,60;110,2523.9743316382223,4285,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[0.1-l_shipmode-prefix-cuda-DictionaryEncoding-mask],l_shipmode,cuda,,prefix,True,0.1,DictionaryEncoding,l_shipmode,FilterScan,Prefix,TRUCK,600572,600572,8,4804576,,,0.00022893399000167847,0.000436058035120368,0.0002332167307115651,5.538447101966383e-06,0.00023198011331260204,2.3025786504149437e-06,285;366,4287.857037309933,4315,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[0.2-l_shipmode-prefix-cuda-DictionaryEncoding-mask],l_shipmode,cuda,,prefix,True,0.2,DictionaryEncoding,l_shipmode,FilterScan,Prefix,TRUCK,1199969,1199969,8,9599752,,,0.00022903503850102425,0.00041018915362656116,0.0002349489327774682,6.914605083389725e-06,0.0002340138889849186,2.159504219889641e-06,190;475,4256.244061968775,4288,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[0.2-l_shipmode-lt-cuda-UnsortedDictionaryEncoding-mask],l_shipmode,cuda,,lt,True,0.2,UnsortedDictionaryEncoding,l_shipmode,FilterScan,Lt,TRUCK,1199969,1199969,8,9599752,,,0.00023409398272633553,0.0006577079184353352,0.00024030708939760194,9.766629946602495e-06,0.00023915385827422142,2.403976395726204e-06,100;393,4161.3420665482,4213,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[0.1-l_shipmode-lt-cuda-UnsortedDictionaryEncoding-mask],l_shipmode,cuda,,lt,True,0.1,UnsortedDictionaryEncoding,l_shipmode,FilterScan,Lt,TRUCK,600572,600572,8,4804576,,,0.0002343549858778715,0.0004272309597581625,0.00023970672591077744,5.646257890403014e-06,0.0002388239372521639,3.6410056054592133e-06,292;263,4171.764460093687,4172,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[0.1-l_shipmode-prefix-cpu-DictionaryEncoding-mask],l_shipmode,cpu,,prefix,True,0.1,DictionaryEncoding,l_shipmode,FilterScan,Prefix,TRUCK,600572,600572,8,4804576,,,0.00023901392705738544,0.0004277920816093683,0.0002584880208393574,1.2217001378192177e-05,0.0002558149863034487,1.3244803994894028e-05,711;164,3868.6512309267523,3670,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[0.2-l_shipmode-lt-cpu-DictionaryEncoding-mask],l_shipmode,cpu,,lt,True,0.2,DictionaryEncoding,l_shipmode,FilterScan,Lt,TRUCK,1199969,1199969,8,9599752,,,0.00025969301350414753,0.0005198770668357611,0.0002852127064538169,1.596409232831641e-05,0.0002822058741003275,1.285201869904995e-05,185;109,3506.155151477885,2887,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[0.1-l_shipmode-prefix-cpu-UnsortedDictionaryEncoding-mask],l_shipmode,cpu,,prefix,True,0.1,UnsortedDictionaryEncoding,l_shipmode,FilterScan,Prefix,TRUCK,600572,600572,8,4804576,,,0.00027251685969531536,0.0004263578448444605,0.000295410749377377,2.0084027689606592e-05,0.00028790696524083614,2.935068914666772e-05,524;16,3385.117170271061,2613,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[0.1-l_shipmode-prefix-cuda-UnsortedCDictionaryEncoding-mask],l_shipmode,cuda,,prefix,True,0.1,UnsortedCDictionaryEncoding,l_shipmode,FilterScan,Prefix,TRUCK,600572,600572,8,4804576,,,0.00027381000109016895,0.0014921920374035835,0.0002824633536567399,2.2366760158441976e-05,0.00028107408434152603,3.2451353035867214e-06,24;280,3540.2822598192242,3567,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[0.2-l_shipmode-prefix-cuda-UnsortedCDictionaryEncoding-mask],l_shipmode,cuda,,prefix,True,0.2,UnsortedCDictionaryEncoding,l_shipmode,FilterScan,Prefix,TRUCK,1199969,1199969,8,9599752,,,0.0002760330680757761,0.0012642089277505875,0.0002823503983541015,1.9513703985136578e-05,0.0002805020194500685,3.3482792787253857e-06,12;266,3541.6985625990833,3589,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[0.2-l_shipmode-prefix-cuda-DictionaryEncoding-index],l_shipmode,cuda,,prefix,False,0.2,DictionaryEncoding,l_shipmode,FilterScan,Prefix,TRUCK,1199969,171624,8,9599752,,,0.00028251600451767445,0.0018932030070573092,0.00029164045460985147,2.8455659377889266e-05,0.0002901810221374035,3.4280819818377495e-06,14;259,3428.879581667682,3460,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[0.1-l_shipmode-prefix-cuda-DictionaryEncoding-index],l_shipmode,cuda,,prefix,False,0.1,DictionaryEncoding,l_shipmode,FilterScan,Prefix,TRUCK,600572,85953,8,4804576,,,0.0002841989044100046,0.012338383123278618,0.0002924594506508571,0.00020471514797695573,0.00028750509954988956,3.405963070690632e-06,1;233,3419.2774341008267,3468,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[0.1-l_shipmode-lt-cuda-UnsortedDictionaryEncoding-index],l_shipmode,cuda,,lt,False,0.1,UnsortedDictionaryEncoding,l_shipmode,FilterScan,Lt,TRUCK,600572,514619,8,4804576,,,0.0002947789616882801,0.00045966194011271,0.00030241583645739586,6.847743243584387e-06,0.0003010910004377365,2.845190465450287e-06,255;314,3306.705137251896,3313,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[0.3-l_shipmode-lt-cpu-DictionaryEncoding-mask],l_shipmode,cpu,,lt,True,0.30000000000000004,DictionaryEncoding,l_shipmode,FilterScan,Lt,TRUCK,1800093,1800093,8,14400744,,,0.0002960220444947481,0.0004993369802832603,0.0003208799336044888,1.464917597056355e-05,0.0003184641245752573,1.5378929674625397e-05,418;114,3116.4304628427876,2455,1
