name,param:col,param:device,param:group,param:predicate,param:return_mask,param:scale,param:tensor_cls,param:torch_compile,col,op,pred,val,tuple_count,query_result_size,tuple_element_size_bytes,total_size_bytes,stage,error,min,max,mean,stddev,median,iqr,outliers,ops,rounds,iterations
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-DictionaryEncoding-mask-eager],l_shipmode,cuda,,eq,True,10,DictionaryEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,59986052,59986052,8,479888416,,,0.0006078630685806274,0.0044597729574888945,0.0006200727743411639,9.569657853968166e-05,0.0006160689517855644,3.0351802706718445e-06,9;136,1612.7139287199218,1638,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-UnsortedDictionaryEncoding-mask-eager],l_shipmode,cuda,,eq,True,10,UnsortedDictionaryEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,59986052,59986052,8,479888416,,,0.0006162289064377546,0.0007607140578329563,0.0006203777044528015,5.230399613588736e-06,0.0006194405723363161,1.7532147467136383e-06,74;157,1611.9212422084718,1618,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-DictionaryEncoding-mask-compile],l_shipmode,cuda,,eq,True,10,DictionaryEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,59986052,59986052,8,479888416,,,0.0006204268429428339,0.004505618941038847,0.0006300829304759847,9.713000842450429e-05,0.000626478111371398,3.705499693751335e-06,3;79,1587.0926692849278,1603,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-UnsortedDictionaryEncoding-mask-compile],l_shipmode,cuda,,eq,True,10,UnsortedDictionaryEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,59986052,59986052,8,479888416,,,0.0006269100122153759,0.003386897034943104,0.0006329132936174248,6.941563074957853e-05,0.0006301160901784897,2.495129592716694e-06,3;118,1579.9952538277178,1587,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-UnsortedCDictionaryEncoding-mask-eager],l_shipmode,cuda,,eq,True,10,UnsortedCDictionaryEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,59986052,59986052,8,479888416,,,0.0008372790180146694,0.004962075036019087,0.000854017270014722,0.0001197183470255324,0.0008492965716868639,5.515408702194691e-06,2;57,1170.9365080904763,1184,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-UnsortedCDictionaryEncoding-mask-compile],l_shipmode,cuda,,eq,True,10,UnsortedCDictionaryEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,59986052,59986052,8,479888416,,,0.000855984166264534,0.0010575070045888424,0.0008670895961057363,8.88297869300718e-06,0.000864936038851738,5.049863830208778e-06,75;71,1153.2833567502016,1166,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[20-l_shipmode-eq-cuda-DictionaryEncoding-mask-eager],l_shipmode,cuda,,eq,True,20,DictionaryEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,119994608,119994608,8,959956864,,,0.001020184950903058,0.001484445994719863,0.0010303644081338858,1.946901719287096e-05,0.0010284720920026302,2.8311042115092278e-06,12;74,970.5304182732016,975,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[20-l_shipmode-eq-cuda-DictionaryEncoding-mask-compile],l_shipmode,cuda,,eq,True,20,DictionaryEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,119994608,119994608,8,959956864,,,0.0010334709659218788,0.0012264980468899012,0.0010409542793707218,1.1003239020356546e-05,0.001039362046867609,3.176333848387003e-06,25;71,960.6569854388999,965,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[20-l_shipmode-eq-cuda-UnsortedDictionaryEncoding-mask-eager],l_shipmode,cuda,,eq,True,20,UnsortedDictionaryEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,119994608,119994608,8,959956864,,,0.0010879738256335258,0.004218334099277854,0.001097244667071922,0.00010317994295631197,0.0010932444129139185,1.9026920199394226e-06,1;70,911.373761941877,918,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[20-l_shipmode-eq-cuda-UnsortedDictionaryEncoding-mask-compile],l_shipmode,cuda,,eq,True,20,UnsortedDictionaryEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,119994608,119994608,8,959956864,,,0.0010978230275213718,0.0013016089797019958,0.0011026004374453937,9.092091900969714e-06,0.001101469504646957,1.7874408513307571e-06,16;76,906.9468558500595,908,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-CDictionaryEncoding-mask-eager],l_shipmode,cuda,,eq,True,10,CDictionaryEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,59986052,59986052,8,479888416,,,0.0012901478912681341,0.003403648966923356,0.0013265242803712379,7.97881052149329e-05,0.0013191129546612501,7.400638423860073e-06,12;59,753.8497521659705,777,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-DictionaryEncoding-index-eager],l_shipmode,cuda,,eq,False,10,DictionaryEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,59986052,8567549,8,479888416,,,0.001298924908041954,0.0025851549580693245,0.0013263604679796235,5.070699005899369e-05,0.0013183720875531435,1.8792925402522087e-05,22;43,753.9428565171642,765,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-DictionaryEncoding-index-compile],l_shipmode,cuda,,eq,False,10,DictionaryEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,59986052,8567549,8,479888416,,,0.0012995160650461912,0.0014432989992201328,0.001323688190184806,1.4996799439006398e-05,0.0013189074816182256,1.4958204701542854e-05,138;45,755.4649255126961,766,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-UnsortedDictionaryEncoding-index-eager],l_shipmode,cuda,,eq,False,10,UnsortedDictionaryEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,59986052,8567549,8,479888416,,,0.0013039750047028065,0.005558658158406615,0.0013362490095374152,0.00015455427791162896,0.0013251901837065816,2.2372230887413025e-05,1;35,748.3635107397996,762,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-UnsortedDictionaryEncoding-index-compile],l_shipmode,cuda,,eq,False,10,UnsortedDictionaryEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,59986052,8567549,8,479888416,,,0.0013095238246023655,0.002105905907228589,0.001333412812760179,3.238971277805967e-05,0.0013273680815473199,1.8039485439658165e-05,40;39,749.9552954872161,752,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-CDictionaryEncoding-mask-compile],l_shipmode,cuda,,eq,True,10,CDictionaryEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,59986052,59986052,8,479888416,,,0.0013099058996886015,0.001495247008278966,0.0013345728839723099,1.3616939512172958e-05,0.0013331989757716656,8.1649050116539e-06,57;30,749.3034003684645,760,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[20-l_shipmode-eq-cuda-UnsortedCDictionaryEncoding-mask-eager],l_shipmode,cuda,,eq,True,20,UnsortedCDictionaryEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,119994608,119994608,8,959956864,,,0.0013102761004120111,0.0014925519935786724,0.0013243268312232968,1.2762948275478107e-05,0.0013225500006228685,3.67150641977787e-06,26;64,755.1006114376523,764,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[20-l_shipmode-eq-cuda-UnsortedCDictionaryEncoding-mask-compile],l_shipmode,cuda,,eq,True,20,UnsortedCDictionaryEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,119994608,119994608,8,959956864,,,0.001327879959717393,0.0046811820939183235,0.001342279581944937,0.00012267288836231936,0.001335924956947565,3.432272933423519e-06,3;70,745.0012750331936,749,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[30-l_shipmode-eq-cuda-DictionaryEncoding-mask-eager],l_shipmode,cuda,,eq,True,30,DictionaryEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,179998372,179998372,8,1439986976,,,0.0014307750388979912,0.004563539056107402,0.0014428934149102529,0.00011850456243904918,0.001437452039681375,3.1369272619485855e-06,2;45,693.051884267002,698,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[30-l_shipmode-eq-cuda-DictionaryEncoding-mask-compile],l_shipmode,cuda,,eq,True,30,DictionaryEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,179998372,179998372,8,1439986976,,,0.00144178606569767,0.0014876429922878742,0.001448855756252314,5.309561205988394e-06,0.0014477870427072048,3.196008037775755e-06,71;52,690.1998323053582,691,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-UnsortedCDictionaryEncoding-index-eager],l_shipmode,cuda,,eq,False,10,UnsortedCDictionaryEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,59986052,8567549,8,479888416,,,0.0015276079066097736,0.001682282192632556,0.0015569677295010692,2.1009224286599704e-05,0.0015502921305596828,2.1987420041114092e-05,128;32,642.2740696882975,647,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-UnsortedCDictionaryEncoding-index-compile],l_shipmode,cuda,,eq,False,10,UnsortedCDictionaryEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,59986052,8567549,8,479888416,,,0.001540403114631772,0.0017698588781058788,0.0015657054151694825,1.7148711565567837e-05,0.0015612419229000807,1.4182529412209988e-05,86;36,638.6897498797712,647,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[30-l_shipmode-eq-cuda-UnsortedDictionaryEncoding-mask-eager],l_shipmode,cuda,,eq,True,30,UnsortedDictionaryEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,179998372,179998372,8,1439986976,,,0.0015617439057677984,0.0016062380746006966,0.0015655918585252948,4.110852103065842e-06,0.0015646794345229864,1.783948391675949e-06,51;60,638.7360757879435,640,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[30-l_shipmode-eq-cuda-UnsortedDictionaryEncoding-mask-compile],l_shipmode,cuda,,eq,True,30,UnsortedDictionaryEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,179998372,179998372,8,1439986976,,,0.0015723530668765306,0.0017191830556839705,0.0015769995153741031,7.904982299857612e-06,0.0015755848726257682,2.23435927182436e-06,28;60,634.1156038737116,636,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[20-l_shipmode-eq-cuda-CDictionaryEncoding-mask-eager],l_shipmode,cuda,,eq,True,20,CDictionaryEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,119994608,119994608,8,959956864,,,0.0016997961793094873,0.0019675230141729116,0.0017357165250908172,1.7578266093391377e-05,0.0017322772182524204,8.383416570723057e-06,41;43,576.1309439326087,587,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[20-l_shipmode-eq-cuda-CDictionaryEncoding-mask-compile],l_shipmode,cuda,,eq,True,20,CDictionaryEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,119994608,119994608,8,959956864,,,0.0017204440664499998,0.004891200922429562,0.001756798681607822,0.00013213502680834192,0.0017464139964431524,7.834052667021751e-06,7;51,569.2171849109086,582,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[30-l_shipmode-eq-cuda-UnsortedCDictionaryEncoding-mask-eager],l_shipmode,cuda,,eq,True,30,UnsortedCDictionaryEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,179998372,179998372,8,1439986976,,,0.001784415915608406,0.005211978917941451,0.0017991649863278504,0.00014468375098454075,0.0017916089855134487,5.26057556271553e-06,1;17,555.8133954357515,559,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[30-l_shipmode-eq-cuda-UnsortedCDictionaryEncoding-mask-compile],l_shipmode,cuda,,eq,True,30,UnsortedCDictionaryEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,179998372,179998372,8,1439986976,,,0.0018023599404841661,0.0019595290068536997,0.0018117062516745414,9.29261883209773e-06,0.0018103751353919506,3.5061966627836227e-06,21;41,551.9658604013263,555,1
