name,param:col,param:device,param:group,param:predicate,param:return_mask,param:scale,param:tensor_cls,param:torch_compile,col,op,pred,val,tuple_count,query_result_size,tuple_element_size_bytes,total_size_bytes,stage,error,min,max,mean,stddev,median,iqr,outliers,ops,rounds,iterations
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-PlainEncoding-mask-compile],l_shipmode,cuda,,eq,True,10,PlainEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,59986052,59986052,7,419902364,,,0.0004614850040525198,0.00047877803444862366,0.000464300448022394,1.814757747924503e-06,0.0004639308899641037,1.3932003639638424e-06,276;152,2153.7778054260425,2127,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[20-l_shipmode-eq-cuda-PlainEncoding-mask-compile],l_shipmode,cuda,,eq,True,20,PlainEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,119994608,119994608,7,839962256,,,0.0008426390122622252,0.002755839144811034,0.0008485976220140246,5.850753491080884e-05,0.0008458544034510851,1.7134007066488266e-06,5;67,1178.4148035044495,1176,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-PlainEncoding-index-compile],l_shipmode,cuda,,eq,False,10,PlainEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,59986052,8567549,7,419902364,,,0.0011447619181126356,0.004404047038406134,0.001178062301962506,0.00012135231973948277,0.001167115056887269,2.2732536308467388e-05,3;35,848.8515406478281,856,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[30-l_shipmode-eq-cuda-PlainEncoding-mask-compile],l_shipmode,cuda,,eq,True,30,PlainEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,179998372,179998372,7,1259988604,,,0.0012236719485372305,0.004752498120069504,0.0012324561079358452,0.00012377449101697035,0.001227534026838839,1.748558133840561e-06,1;66,811.3879216963193,812,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[40-l_shipmode-eq-cuda-PlainEncoding-mask-compile],l_shipmode,cuda,,eq,True,40,PlainEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,240012290,240012290,7,1680086030,,,0.0016079710330814123,0.004019697895273566,0.001615491383633907,9.67526744083928e-05,0.0016108615091070533,2.029002644121647e-06,1;62,619.0067060280986,620,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[50-l_shipmode-eq-cuda-PlainEncoding-mask-compile],l_shipmode,cuda,,eq,True,50,PlainEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,300005811,300005811,7,2100040677,,,0.001988442847505212,0.00404941407032311,0.001997456654435046,9.181724557304785e-05,0.0019927710527554154,1.5420373529195786e-06,1;55,500.6366459966245,502,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[20-l_shipmode-eq-cuda-PlainEncoding-index-compile],l_shipmode,cuda,,eq,False,20,PlainEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,119994608,17143701,7,839962256,,,0.002187731908634305,0.0023102827835828066,0.0022141888910374103,2.068006387577376e-05,0.0022069881670176983,2.0554347429424524e-05,89;28,451.63265159887584,453,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[60-l_shipmode-eq-cuda-PlainEncoding-mask-compile],l_shipmode,cuda,,eq,True,60,PlainEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,360011594,360011594,7,2520081158,,,0.0026484259869903326,0.0030052720103412867,0.0026545641092776224,2.2666141048742523e-05,0.0026520718820393085,1.7755082808434963e-06,4;31,376.70968145204324,377,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-CPlainEncoding-mask-eager],l_shipmode,cuda,,eq,True,10,CPlainEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,59986052,59986052,7,419902364,,,0.0026941329706460238,0.0038402369245886803,0.0027011036188806085,5.938505840227325e-05,0.0026973080821335316,2.529879566282034e-06,1;20,370.21904417514355,371,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-CPlainEncoding-mask-compile],l_shipmode,cuda,,eq,True,10,CPlainEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,59986052,59986052,7,419902364,,,0.0027172460686415434,0.005729601951315999,0.002737305004007566,0.00020294485924977576,0.002721114084124565,3.6620767787098885e-06,2;19,365.322826113986,367,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[70-l_shipmode-eq-cuda-PlainEncoding-mask-compile],l_shipmode,cuda,,eq,True,70,PlainEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,420017438,420017438,7,2940122066,,,0.003077008994296193,0.0031043910421431065,0.003080940510934362,3.2192668611914127e-06,0.0030801340471953154,2.3264437913894653e-06,45;25,324.57621185834853,325,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[30-l_shipmode-eq-cuda-PlainEncoding-index-compile],l_shipmode,cuda,,eq,False,30,PlainEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,179998372,25714961,7,1259988604,,,0.0032365620136260986,0.007087558973580599,0.00329238066073592,0.00021903696401215532,0.0032738610170781612,3.561232006177306e-05,1;7,303.73158606042773,307,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[80-l_shipmode-eq-cuda-PlainEncoding-mask-compile],l_shipmode,cuda,,eq,True,80,PlainEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,480025129,480025129,7,3360175903,,,0.0035050800070166588,0.0036447870079427958,0.0035100975686586217,8.398773077879199e-06,0.0035092090256512165,2.4437904357910156e-06,4;21,284.89236565072133,285,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[90-l_shipmode-eq-cuda-PlainEncoding-mask-compile],l_shipmode,cuda,,eq,True,90,PlainEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,540030432,540030432,7,3780213024,,,0.0039337140042334795,0.00411668187007308,0.003939021390672099,1.152920940070039e-05,0.003937637084163725,2.383952960371971e-06,3;17,253.8701623626812,254,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[40-l_shipmode-eq-cuda-PlainEncoding-index-compile],l_shipmode,cuda,,eq,False,40,PlainEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,240012290,34285834,7,1680086030,,,0.004292055033147335,0.004417582880705595,0.004331324666786891,2.4804724465127793e-05,0.004325276939198375,3.433041274547577e-05,70;4,230.87625078491996,231,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[100-l_shipmode-eq-cuda-PlainEncoding-mask-compile],l_shipmode,cuda,,eq,True,100,PlainEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,600037902,600037902,7,4200265314,,,0.004361195024102926,0.004383808001875877,0.00436647126208181,3.2338492260868106e-06,0.004365589120425284,2.5248154997825623e-06,37;14,229.01788194140738,230,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-PlainEncoding-mask-eager],l_shipmode,cuda,,eq,True,10,PlainEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,59986052,59986052,7,419902364,,,0.004503406118601561,0.005706608993932605,0.004512709540289802,8.079326959365791e-05,0.0045063161524012685,2.1741725504398346e-06,2;15,221.59635825703532,222,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[110-l_shipmode-eq-cuda-PlainEncoding-mask-compile],l_shipmode,cuda,,eq,True,110,PlainEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,660030653,660030653,7,4620214571,,,0.00479068118147552,0.004939863225445151,0.0047955854102951345,1.0256042219213124e-05,0.004794287029653788,2.4792389012873173e-06,1;7,208.52511517221774,209,1
