name,param:col,param:device,param:group,param:predicate,param:return_mask,param:scale,param:tensor_cls,param:torch_compile,col,op,pred,val,tuple_count,query_result_size,tuple_element_size_bytes,total_size_bytes,stage,error,min,max,mean,stddev,median,iqr,outliers,ops,rounds,iterations
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-DictionaryEncoding-mask-eager],l_shipmode,cuda,,eq,True,10,DictionaryEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,59986052,59986052,7,419902364,,,0.0006083848420530558,0.000764199998229742,0.0006155480678455952,7.96012412042051e-06,0.0006144510116428137,3.1157396733760834e-06,42;97,1624.5684979565904,1638,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-UnsortedDictionaryEncoding-mask-eager],l_shipmode,cuda,,eq,True,10,UnsortedDictionaryEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,59986052,59986052,7,419902364,,,0.000614645890891552,0.000762325944378972,0.0006202491310254985,5.648706652690978e-06,0.0006193548906594515,1.8105492927134037e-06,70;170,1612.2553825212694,1615,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-DictionaryEncoding-mask-compile],l_shipmode,cuda,,eq,True,10,DictionaryEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,59986052,59986052,7,419902364,,,0.000618885038420558,0.004557957872748375,0.0006297605875763834,9.836472237802144e-05,0.0006256469059735537,3.7872232496738434e-06,4;104,1587.9050225236751,1610,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-UnsortedDictionaryEncoding-mask-compile],l_shipmode,cuda,,eq,True,10,UnsortedDictionaryEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,59986052,59986052,7,419902364,,,0.0006262378301471472,0.0048560150898993015,0.0006341672496031151,0.00010634336397247784,0.0006301060784608126,2.515967935323715e-06,6;118,1576.871086650779,1594,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-UnsortedCDictionaryEncoding-mask-eager],l_shipmode,cuda,,eq,True,10,UnsortedCDictionaryEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,59986052,59986052,7,419902364,,,0.0008386208210140467,0.00104753696359694,0.0008477580994555114,1.155362424111468e-05,0.0008468159940093756,5.650916136801243e-06,34;47,1179.5817706044552,1192,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-UnsortedCDictionaryEncoding-mask-compile],l_shipmode,cuda,,eq,True,10,UnsortedCDictionaryEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,59986052,59986052,7,419902364,,,0.0008485300932079554,0.001066592987626791,0.0008608710725038582,8.644187843159205e-06,0.0008594610262662172,4.669651389122009e-06,73;65,1161.6141277595527,1171,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[20-l_shipmode-eq-cuda-DictionaryEncoding-mask-eager],l_shipmode,cuda,,eq,True,20,DictionaryEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,119994608,119994608,7,839962256,,,0.0010206359438598156,0.0011785270180553198,0.0010296439395944836,8.049850970504785e-06,0.00102842110209167,3.3219694159924984e-06,42;60,971.209523550288,977,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[20-l_shipmode-eq-cuda-DictionaryEncoding-mask-compile],l_shipmode,cuda,,eq,True,20,DictionaryEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,119994608,119994608,7,839962256,,,0.0010345831979066133,0.004740114090964198,0.00104589133011901,0.00011969472313960225,0.0010403841733932495,4.022091161459684e-06,6;47,956.1222769541572,965,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[20-l_shipmode-eq-cuda-UnsortedDictionaryEncoding-mask-eager],l_shipmode,cuda,,eq,True,20,UnsortedDictionaryEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,119994608,119994608,7,839962256,,,0.0010897880420088768,0.0034039579331874847,0.001096027150177351,7.635802190167461e-05,0.001092804130166769,2.190063241869211e-06,1;71,912.3861574397927,917,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[20-l_shipmode-eq-cuda-UnsortedDictionaryEncoding-mask-compile],l_shipmode,cuda,,eq,True,20,UnsortedDictionaryEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,119994608,119994608,7,839962256,,,0.0010980928782373667,0.001241074874997139,0.0011034195002641797,5.499086623263392e-06,0.0011025120038539171,2.4176551960408688e-06,45;70,906.2736337001303,905,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-CDictionaryEncoding-mask-eager],l_shipmode,cuda,,eq,True,10,CDictionaryEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,59986052,59986052,7,419902364,,,0.0012748080771416426,0.00225177314132452,0.001310777284833751,4.0165251494707254e-05,0.0013068800326436758,1.0106072295457125e-05,20;42,762.9061104204536,785,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-CDictionaryEncoding-mask-compile],l_shipmode,cuda,,eq,True,10,CDictionaryEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,59986052,59986052,7,419902364,,,0.0012921718880534172,0.0016047039534896612,0.0013263636246988644,1.87091510278221e-05,0.0013242631684988737,1.0179297532886267e-05,37;37,753.9410621480505,773,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-DictionaryEncoding-index-eager],l_shipmode,cuda,,eq,False,10,DictionaryEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,59986052,8567549,7,419902364,,,0.0012978918384760618,0.0014970998745411634,0.0013239195608849249,2.080877926781414e-05,0.0013177049113437533,2.1421117708086967e-05,123;31,755.3328990256682,762,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-DictionaryEncoding-index-compile],l_shipmode,cuda,,eq,False,10,DictionaryEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,59986052,8567549,7,419902364,,,0.0013013898860663176,0.0050877530593425035,0.0013292618978278158,0.00013812588541880263,0.0013194839702919126,1.3956916518509388e-05,1;64,752.2971971393509,752,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-UnsortedDictionaryEncoding-index-eager],l_shipmode,cuda,,eq,False,10,UnsortedDictionaryEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,59986052,8567549,7,419902364,,,0.0013023409992456436,0.0015300328377634287,0.0013292975310507595,2.2525593749761026e-05,0.0013222889974713326,2.424040576443076e-05,114;37,752.2770310191863,755,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[20-l_shipmode-eq-cuda-UnsortedCDictionaryEncoding-mask-eager],l_shipmode,cuda,,eq,True,20,UnsortedCDictionaryEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,119994608,119994608,7,839962256,,,0.0013065291568636894,0.0013649498578161001,0.0013173272594302426,5.842742551410631e-06,0.0013155965134501457,3.96242830902338e-06,65;54,759.1128118251422,764,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-UnsortedDictionaryEncoding-index-compile],l_shipmode,cuda,,eq,False,10,UnsortedDictionaryEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,59986052,8567549,7,419902364,,,0.0013090439606457949,0.005467413924634457,0.0013369331497846072,0.00015110700111557762,0.0013259961269795895,1.8254388123750687e-05,2;33,747.9805554683938,760,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[20-l_shipmode-eq-cuda-UnsortedCDictionaryEncoding-mask-compile],l_shipmode,cuda,,eq,True,20,UnsortedCDictionaryEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,119994608,119994608,7,839962256,,,0.0013225299771875143,0.004167947918176651,0.0013382874451986118,0.00010366073280467438,0.0013333391398191452,5.0218659453094006e-06,4;46,747.2236279191819,757,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[30-l_shipmode-eq-cuda-DictionaryEncoding-mask-eager],l_shipmode,cuda,,eq,True,30,DictionaryEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,179998372,179998372,7,1259988604,,,0.0014281999319791794,0.004457887960597873,0.0014416090787677507,0.00011457058110353867,0.0014361951034516096,3.7101563066244125e-06,3;35,693.669327370478,699,1
