name,param:col,param:device,param:group,param:predicate,param:return_mask,param:scale,param:tensor_cls,param:torch_compile,col,op,pred,val,tuple_count,query_result_size,tuple_element_size_bytes,total_size_bytes,stage,error,min,max,mean,stddev,median,iqr,outliers,ops,rounds,iterations
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-PlainEncoding-mask-compile],l_shipmode,cuda,,eq,True,10,PlainEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,59986052,59986052,7,419902364,,,0.00046284799464046955,0.0006971631664782763,0.00046645715175306095,9.34933433323147e-06,0.00046529388055205345,1.3324897736310959e-06,37;169,2143.8196332541015,2125,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-DictionaryEncoding-mask-eager],l_shipmode,cuda,,eq,True,10,DictionaryEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,59986052,59986052,7,419902364,,,0.000604596920311451,0.004469541134312749,0.0006148357741785341,9.61601943612742e-05,0.0006103978957980871,3.4408876672387123e-06,8;125,1626.450577531982,1635,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-UnsortedDictionaryEncoding-mask-eager],l_shipmode,cuda,,eq,True,10,UnsortedDictionaryEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,59986052,59986052,7,419902364,,,0.0006112901028245687,0.0043906110804528,0.0006198779809328129,9.394346985642578e-05,0.0006160291377454996,2.1439045667648315e-06,7;135,1613.220715624012,1629,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-UnsortedDictionaryEncoding-mask-compile],l_shipmode,cuda,,eq,True,10,UnsortedDictionaryEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,59986052,59986052,7,419902364,,,0.0006220599170774221,0.00358956097625196,0.0006297539261316474,7.470401180403303e-05,0.0006264590192586184,2.2542662918567657e-06,5;141,1587.9218191502853,1593,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-DictionaryEncoding-mask-compile],l_shipmode,cuda,,eq,True,10,DictionaryEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,59986052,59986052,7,419902364,,,0.0006290238816291094,0.0023220661096274853,0.000638045605515113,4.4604302166435755e-05,0.0006342579144984484,5.1049282774329185e-06,14;99,1567.2860863804094,1548,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-UnsortedCDictionaryEncoding-mask-eager],l_shipmode,cuda,,eq,True,10,UnsortedCDictionaryEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,59986052,59986052,7,419902364,,,0.0008269790560007095,0.001035233959555626,0.0008370947146576118,1.5358749139285945e-05,0.000834472943097353,6.7632063291966915e-06,51;65,1194.6079487660122,1203,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-UnsortedCDictionaryEncoding-mask-compile],l_shipmode,cuda,,eq,True,10,UnsortedCDictionaryEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,59986052,59986052,7,419902364,,,0.0008379998616874218,0.001726366113871336,0.0008504384372904265,3.095909770469038e-05,0.0008463205303996801,6.897491402924061e-06,31;62,1175.8640674639425,1180,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[20-l_shipmode-eq-cuda-DictionaryEncoding-mask-eager],l_shipmode,cuda,,eq,True,20,DictionaryEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,119994608,119994608,7,839962256,,,0.0010165791027247906,0.001175209879875183,0.0010247010089057898,9.306483214966601e-06,0.001023306860588491,3.3816322684288025e-06,39;68,975.8944231623561,980,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[20-l_shipmode-eq-cuda-DictionaryEncoding-mask-compile],l_shipmode,cuda,,eq,True,20,DictionaryEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,119994608,119994608,7,839962256,,,0.001028341008350253,0.003963811090216041,0.001042226324875816,9.560645362204227e-05,0.0010349584044888616,4.8746587708592415e-06,9;108,959.484495960273,968,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[20-l_shipmode-eq-cuda-UnsortedDictionaryEncoding-mask-eager],l_shipmode,cuda,,eq,True,20,UnsortedDictionaryEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,119994608,119994608,7,839962256,,,0.0010852201376110315,0.0012543699704110622,0.001089924237559266,1.3261206107942732e-05,0.001088044955395162,1.8390128389000893e-06,13;84,917.494964823758,920,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[20-l_shipmode-eq-cuda-UnsortedDictionaryEncoding-mask-compile],l_shipmode,cuda,,eq,True,20,UnsortedDictionaryEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,119994608,119994608,7,839962256,,,0.0010952579323202372,0.0045979139395058155,0.001104154423928107,0.00011640364802477391,0.0010984439868479967,2.4539767764508724e-06,5;81,905.6704192176577,911,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-PlainEncoding-index-compile],l_shipmode,cuda,,eq,False,10,PlainEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,59986052,8567549,7,419902364,,,0.0011416971683502197,0.004608835093677044,0.001200531125535623,0.00015349277815157248,0.001173131400719285,3.1659845262765884e-05,58;82,832.9646593326308,718,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-CDictionaryEncoding-mask-eager],l_shipmode,cuda,,eq,True,10,CDictionaryEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,59986052,59986052,7,419902364,,,0.0012492809910327196,0.00553707592189312,0.0012809500696600272,0.0001525542617340123,0.0012716029305011034,1.031265128403902e-05,6;33,780.6705535879371,793,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-DictionaryEncoding-index-eager],l_shipmode,cuda,,eq,False,10,DictionaryEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,59986052,8567549,7,419902364,,,0.0012902480084449053,0.004881842993199825,0.0013396987750259155,0.00014070590993908166,0.001325235003605485,3.886106424033642e-05,4;22,746.436451717033,769,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-UnsortedDictionaryEncoding-index-eager],l_shipmode,cuda,,eq,False,10,UnsortedDictionaryEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,59986052,8567549,7,419902364,,,0.0012965300120413303,0.0024256829638034105,0.0013326213244846455,4.688533704750288e-05,0.0013247741153463721,2.9946560971438885e-05,32;25,750.4007189639731,756,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[20-l_shipmode-eq-cuda-UnsortedCDictionaryEncoding-mask-eager],l_shipmode,cuda,,eq,True,20,UnsortedCDictionaryEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,119994608,119994608,7,839962256,,,0.0012990450486540794,0.005087382858619094,0.0013143322141020719,0.00013654456363027128,0.0013076765462756157,5.91157004237175e-06,4;36,760.8426463800722,772,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-UnsortedDictionaryEncoding-index-compile],l_shipmode,cuda,,eq,False,10,UnsortedDictionaryEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,59986052,8567549,7,419902364,,,0.0013083531521260738,0.0015359849203377962,0.0013421114322753917,2.7605330456211315e-05,0.0013335255207493901,3.1028990633785725e-05,153;26,745.0946143157561,760,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[20-l_shipmode-eq-cuda-UnsortedCDictionaryEncoding-mask-compile],l_shipmode,cuda,,eq,True,20,UnsortedCDictionaryEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,119994608,119994608,7,839962256,,,0.0013105859979987144,0.0014684558846056461,0.0013190792494346738,1.1946784461611501e-05,0.001316587906330824,6.0014426708221436e-06,28;36,758.1045645502925,759,1
