name,param:device,param:group,param:max_length,param:predicate,param:return_mask,param:selectivity,param:tensor_cls,param:torch_compile,param:total_count,param:unique_count,col,op,pred,val,tuple_count,query_result_size,tuple_element_size_bytes,total_size_bytes,stage,error,min,max,mean,stddev,median,iqr,outliers,ops,rounds,iterations
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e09-1e4-20-eq-0.15-cuda-CPlainEncoding-mask-eager],cuda,,20,eq,True,0.15,CPlainEncoding,False,1000000000,10000,,,,,,,,,,"OutOfMemoryError('CUDA out of memory. Tried to allocate 18.63 GiB. GPU 0 has a total capacity of 39.39 GiB of which 12.83 GiB is free. Including non-PyTorch memory, this process has 26.56 GiB memory in use. Of the allocated memory 19.74 GiB is allocated by PyTorch, and 6.34 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)')",0,0,0,0,0,0,0,0,0,0
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e09-1e4-20-lt-0.15-cuda-CPlainEncoding-index-compile],cuda,,20,lt,False,0.15,CPlainEncoding,True,1000000000,10000,,,,,,,,,,"OutOfMemoryError('CUDA out of memory. Tried to allocate 4.53 GiB. GPU 0 has a total capacity of 39.39 GiB of which 1.91 GiB is free. Including non-PyTorch memory, this process has 37.48 GiB memory in use. Of the allocated memory 33.57 GiB is allocated by PyTorch, and 3.43 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)')",0,0,0,0,0,0,0,0,0,0
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e09-1e4-20-lt-0.15-cuda-CPlainEncoding-index-eager],cuda,,20,lt,False,0.15,CPlainEncoding,False,1000000000,10000,,,,,,,,,,"OutOfMemoryError('CUDA out of memory. Tried to allocate 4.53 GiB. GPU 0 has a total capacity of 39.39 GiB of which 1.91 GiB is free. Including non-PyTorch memory, this process has 37.48 GiB memory in use. Of the allocated memory 33.57 GiB is allocated by PyTorch, and 3.43 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)')",0,0,0,0,0,0,0,0,0,0
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e09-1e4-20-lt-0.15-cuda-PlainEncoding-index-eager],cuda,,20,lt,False,0.15,PlainEncoding,False,1000000000,10000,,,,,,,,,,"OutOfMemoryError('CUDA out of memory. Tried to allocate 18.63 GiB. GPU 0 has a total capacity of 39.39 GiB of which 1.65 GiB is free. Including non-PyTorch memory, this process has 37.73 GiB memory in use. Of the allocated memory 37.25 GiB is allocated by PyTorch, and 1.98 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)')",0,0,0,0,0,0,0,0,0,0
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e09-1e4-20-lt-0.15-cuda-PlainEncoding-mask-eager],cuda,,20,lt,True,0.15,PlainEncoding,False,1000000000,10000,,,,,,,,,,"OutOfMemoryError('CUDA out of memory. Tried to allocate 18.63 GiB. GPU 0 has a total capacity of 39.39 GiB of which 1.65 GiB is free. Including non-PyTorch memory, this process has 37.73 GiB memory in use. Of the allocated memory 37.25 GiB is allocated by PyTorch, and 1.98 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)')",0,0,0,0,0,0,0,0,0,0
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e09-1e4-20-prefix-0.15-cuda-CPlainEncoding-mask-eager],cuda,,20,prefix,True,0.15,CPlainEncoding,False,1000000000,10000,,,,,,,,,,"OutOfMemoryError('CUDA out of memory. Tried to allocate 954.00 MiB. GPU 0 has a total capacity of 39.39 GiB of which 500.31 MiB is free. Including non-PyTorch memory, this process has 38.90 GiB memory in use. Of the allocated memory 38.37 GiB is allocated by PyTorch, and 45.57 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)')",0,0,0,0,0,0,0,0,0,0
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e06-1e4-20-prefix-0.15-cuda-PlainEncoding-mask-compile],cuda,,20,prefix,True,0.15,PlainEncoding,True,1000000,10000,0008,FilterScan,Prefix,NGmE00,1000000,1000000,20,20000000,,,0.00010036000094260089,0.0003034860001207562,0.00010401360930498661,5.138356671161565e-06,0.00010339599975850433,1.20299773698207e-06,302;579,9614.126523268895,8984,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e06-1e4-20-prefix-0.15-cuda-CPlainEncoding-mask-compile],cuda,,20,prefix,True,0.15,CPlainEncoding,True,1000000,10000,0008,FilterScan,Prefix,NGmE00,1000000,1000000,20,20000000,,,0.00010273500083712861,0.00027014300030714367,0.00010590260586647078,4.160741230905421e-06,0.00010541050050960621,1.7629990907153115e-06,319;374,9442.638278994456,9086,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e06-1e4-20-eq-0.15-cuda-PlainEncoding-mask-compile],cuda,,20,eq,True,0.15,PlainEncoding,True,1000000,10000,0006,FilterScan,Eq,0,1000000,1000000,20,20000000,,,0.00010321599984308705,0.0002724570003920235,0.00010684249994089443,3.989435919791085e-06,0.00010609099990688264,1.9947506189055275e-06,546;607,9359.571336810752,8843,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e06-1e4-20-eq-0.15-cuda-CPlainEncoding-mask-compile],cuda,,20,eq,True,0.15,CPlainEncoding,True,1000000,10000,0006,FilterScan,Eq,0,1000000,1000000,20,20000000,,,0.00010396700054116081,0.00025907200142682996,0.000107351156057615,4.364001394103623e-06,0.00010661200030881446,1.803999111871235e-06,454;658,9315.223391383912,8645,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e07-1e4-20-lt-0.15-cuda-CPlainEncoding-mask-compile],cuda,,20,lt,True,0.15,CPlainEncoding,True,10000000,10000,0010,FilterScan,Lt,4j,10000000,10000000,20,200000000,,,0.00010511900109122507,0.00024212899916165043,0.0001086185219325638,3.310456721240013e-06,0.00010804500016092788,1.2420005077729002e-06,544;696,9206.532939389965,8639,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e06-1e4-20-lt-0.15-cuda-CPlainEncoding-mask-compile],cuda,,20,lt,True,0.15,CPlainEncoding,True,1000000,10000,0007,FilterScan,Lt,4SFm6se,1000000,1000000,20,20000000,,,0.00010538999958953355,0.00026035400151158683,0.00010882798746234074,4.396061948795167e-06,0.00010847599878616165,1.963999238796532e-06,338;469,9188.812761478695,8141,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e07-1e4-20-prefix-0.15-cuda-CPlainEncoding-mask-compile],cuda,,20,prefix,True,0.15,CPlainEncoding,True,10000000,10000,0011,FilterScan,Prefix,0kWTf,10000000,10000000,20,200000000,,,0.00011455700041551609,0.0003138449992547976,0.000117443806003214,4.996097288960781e-06,0.0001169320003100438,1.0020012268796563e-06,222;602,8514.710430728324,8211,1
