name,param:col,param:device,param:group,param:predicate,param:return_mask,param:scale,param:tensor_cls,param:torch_compile,col,op,pred,val,tuple_count,query_result_size,tuple_element_size_bytes,total_size_bytes,stage,error,min,max,mean,stddev,median,iqr,outliers,ops,rounds,iterations
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-CPlainEncoding-mask-compile],l_shipmode,cuda,,eq,True,10,CPlainEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,59986052,59986052,7,419902364,,,0.00041454700021859026,0.0024023779997150996,0.0004193562544578641,4.210799374637854e-05,0.00041743200017663185,1.659749841564917e-06,7;202,2384.607334145478,2303,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[20-l_shipmode-eq-cuda-CPlainEncoding-mask-compile],l_shipmode,cuda,,eq,True,20,CPlainEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,119994608,119994608,7,839962256,,,0.0007537800001955475,0.0024185789998227847,0.0007603478443953685,5.121002704707925e-05,0.0007575770005132654,2.096749767588335e-06,7;88,1315.187525513673,1311,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[30-l_shipmode-eq-cuda-CPlainEncoding-mask-compile],l_shipmode,cuda,,eq,True,30,CPlainEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,179998372,179998372,7,1259988604,,,0.0011044359998777509,0.0019253630007369793,0.0011099753407683023,2.736176707784243e-05,0.0011085030000685947,2.0529996618279256e-06,1;61,900.9209153311643,898,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[40-l_shipmode-eq-cuda-CPlainEncoding-mask-compile],l_shipmode,cuda,,eq,True,40,CPlainEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,240012290,240012290,7,1680086030,,,0.0015131710006244248,0.0027452090007500374,0.001528042801515864,4.915102868749968e-05,0.001525353999568324,4.744000079881516e-06,3;15,654.431930184135,655,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[50-l_shipmode-eq-cuda-CPlainEncoding-mask-compile],l_shipmode,cuda,,eq,True,50,CPlainEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,300005811,300005811,7,2100040677,,,0.0021634750000885106,0.003138885000225855,0.0021688295773083454,4.543093010289783e-05,0.002166140000554151,1.3919998309575021e-06,1;47,461.07818265788467,459,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[60-l_shipmode-eq-cuda-CPlainEncoding-mask-compile],l_shipmode,cuda,,eq,True,60,CPlainEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,360011594,360011594,7,2520081158,,,0.0022601279997616075,0.0023183889998108498,0.002271708081825223,4.864563106196942e-06,0.0022713289999956032,5.646000772685511e-06,102;8,440.1974038832232,440,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[70-l_shipmode-eq-cuda-CPlainEncoding-mask-compile],l_shipmode,cuda,,eq,True,70,CPlainEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,420017438,420017438,7,2940122066,,,0.002624368999931903,0.0033009230000971,0.002639719519790121,3.441087226533716e-05,0.0026373840000815107,6.3694997152197175e-06,1;9,378.8281264365193,379,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-CPlainEncoding-mask-eager],l_shipmode,cuda,,eq,True,10,CPlainEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,59986052,59986052,7,419902364,,,0.002694572000109474,0.003368720999787911,0.0027036432533536618,3.9534203302789986e-05,0.0026980599996022647,3.3137503123725764e-06,9;33,369.8712834097386,371,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[90-l_shipmode-eq-cuda-CPlainEncoding-mask-compile],l_shipmode,cuda,,eq,True,90,CPlainEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,540030432,540030432,7,3780213024,,,0.00313646099948528,0.004367906999505067,0.00314423412263115,6.889568611350067e-05,0.0031398024998452456,1.953999344550539e-06,1;26,318.0424742554421,318,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[80-l_shipmode-eq-cuda-CPlainEncoding-mask-compile],l_shipmode,cuda,,eq,True,80,CPlainEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,480025129,480025129,7,3360175903,,,0.003314397999929497,0.003496223000183818,0.003333428836619229,1.2197781288817578e-05,0.0033327285000268603,1.0749501143436646e-05,37;3,299.99140495052603,300,1
