name,param:device,param:group,param:max_length,param:predicate,param:return_mask,param:selectivity,param:tensor_cls,param:torch_compile,param:total_count,param:unique_count,col,op,pred,val,tuple_count,query_result_size,tuple_element_size_bytes,total_size_bytes,stage,error,min,max,mean,stddev,median,iqr,outliers,ops,rounds,iterations
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e08-1e4-20-prefix-0.15-cuda-UnsortedDictionaryEncoding-mask-compile],cuda,,20,prefix,True,0.15,UnsortedDictionaryEncoding,True,100000000,10000,0003,FilterScan,Prefix,eeRfpYnaUu38h,100000000,14999627,20,2000000000,,,0.0007660329574719071,0.0028605080442503095,0.0007735063112595328,5.8475325025802617e-05,0.0007714839885011315,3.0960218282416463e-06,2;57,1292.8142737085857,1281,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e08-1e4-20-prefix-0.15-cuda-UnsortedCDictionaryEncoding-mask-compile],cuda,,20,prefix,True,0.15,UnsortedCDictionaryEncoding,True,100000000,10000,0003,FilterScan,Prefix,eeRfpYnaUu38h,100000000,14999627,20,2000000000,,,0.0007665039738640189,0.0029461499652825296,0.0007722220867569577,6.095308361753711e-05,0.0007697909604758024,2.300017513334751e-06,1;88,1294.964255943033,1277,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e08-1e4-20-eq-0.15-cuda-UnsortedDictionaryEncoding-mask-compile],cuda,,20,eq,True,0.15,UnsortedDictionaryEncoding,True,100000000,10000,0001,FilterScan,Eq,4pswyQmt4T,100000000,14998502,20,2000000000,,,0.0007672560168430209,0.0028030279790982604,0.000774787558020762,5.7081479729669344e-05,0.0007720094872638583,3.397522959858179e-06,3;80,1290.6763791542494,1280,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e08-1e4-20-eq-0.15-cuda-UnsortedCDictionaryEncoding-mask-compile],cuda,,20,eq,True,0.15,UnsortedCDictionaryEncoding,True,100000000,10000,0001,FilterScan,Eq,4pswyQmt4T,100000000,14998502,20,2000000000,,,0.0007673760410398245,0.0045026339939795434,0.000775606924595665,0.00010475372965805674,0.0007719749701209366,3.321518306620419e-06,1;59,1289.3128829675086,1269,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e08-1e4-20-lt-0.15-cuda-UnsortedCDictionaryEncoding-mask-compile],cuda,,20,lt,True,0.15,UnsortedCDictionaryEncoding,True,100000000,10000,0002,FilterScan,Lt,4vQ3SVYyCQ,100000000,14999627,20,2000000000,,,0.0007691200007684529,0.0025900849723257124,0.0007760002207741118,5.097280426999076e-05,0.0007739980355836451,3.066772478632629e-06,1;60,1288.6594271873191,1273,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e08-1e4-20-lt-0.15-cuda-UnsortedDictionaryEncoding-mask-compile],cuda,,20,lt,True,0.15,UnsortedDictionaryEncoding,True,100000000,10000,0002,FilterScan,Lt,4vQ3SVYyCQ,100000000,14999627,20,2000000000,,,0.0007692599901929498,0.0024741149973124266,0.0007762368363013444,4.8517888788894604e-05,0.0007740684959571809,2.82048131339252e-06,4;65,1288.2666130157575,1272,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e08-1e4-20-prefix-0.15-cuda-DictionaryEncoding-mask-compile],cuda,,20,prefix,True,0.15,DictionaryEncoding,True,100000000,10000,0003,FilterScan,Prefix,eeRfpYnaUu38h,100000000,14999627,20,2000000000,,,0.0008750900160521269,0.001002773002255708,0.0008823916395028521,7.454736567833249e-06,0.000881096493685618,3.431516233831644e-06,56;93,1133.283629662912,1120,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e08-1e4-20-eq-0.15-cuda-DictionaryEncoding-mask-compile],cuda,,20,eq,True,0.15,DictionaryEncoding,True,100000000,10000,0001,FilterScan,Eq,4pswyQmt4T,100000000,14998502,20,2000000000,,,0.0008767530089244246,0.004810418002307415,0.0008927385833105131,0.000160013698341893,0.0008852299652062356,4.418223397806287e-06,2;43,1120.1487408460973,1107,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e08-1e4-20-lt-0.15-cuda-DictionaryEncoding-mask-compile],cuda,,20,lt,True,0.15,DictionaryEncoding,True,100000000,10000,0002,FilterScan,Lt,4vQ3SVYyCQ,100000000,14999627,20,2000000000,,,0.0008780360221862793,0.003368982987012714,0.00088985964397338,0.00010297060579319509,0.0008846639830153435,4.519009962677956e-06,3;50,1123.772728398856,1114,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e08-1e4-20-prefix-0.15-cuda-CPlainEncoding-mask-compile],cuda,,20,prefix,True,0.15,CPlainEncoding,True,100000000,10000,0003,FilterScan,Prefix,eeRfpYnaUu38h,100000000,14999627,20,2000000000,,,0.0010768530191853642,0.0011098859831690788,0.0010875565730154783,3.3113268790122576e-06,0.0010874180006794631,4.142464604228735e-06,250;17,919.4923968205999,912,1
