name,param:device,param:group,param:max_length,param:predicate,param:return_mask,param:selectivity,param:tensor_cls,param:torch_compile,param:total_count,param:unique_count,col,op,pred,val,tuple_count,query_result_size,tuple_element_size_bytes,total_size_bytes,stage,error,min,max,mean,stddev,median,iqr,outliers,ops,rounds,iterations
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e08-1e4-20-prefix-0.15-cuda-UnsortedDictionaryEncoding-mask-compile],cuda,,20,prefix,True,0.15,UnsortedDictionaryEncoding,True,100000000,10000,0003,FilterScan,Prefix,22ITAtgWvP,100000000,14999627,20,2000000000,,,0.000767224992159754,0.0009256970370188355,0.0007730487958490028,5.796120566976973e-06,0.000772139523178339,3.5420525819063187e-06,65;56,1293.5794032273827,1272,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e08-1e4-20-prefix-0.15-cuda-UnsortedCDictionaryEncoding-mask-compile],cuda,,20,prefix,True,0.15,UnsortedCDictionaryEncoding,True,100000000,10000,0003,FilterScan,Prefix,22ITAtgWvP,100000000,14999627,20,2000000000,,,0.0007675159722566605,0.0007994670304469764,0.0007730156126726954,3.451242722101202e-06,0.0007720449939370155,3.02595435641706e-06,164;74,1293.634932601824,1273,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e08-1e4-20-eq-0.15-cuda-UnsortedCDictionaryEncoding-mask-compile],cuda,,20,eq,True,0.15,UnsortedCDictionaryEncoding,True,100000000,10000,0001,FilterScan,Eq,mIsT18cymR,100000000,14998502,20,2000000000,,,0.0007693000370636582,0.002326803980395198,0.0007758363373625299,4.422369855298508e-05,0.0007736380212008953,3.7394929677248e-06,4;48,1288.9316365349923,1269,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e08-1e4-20-eq-0.15-cuda-UnsortedDictionaryEncoding-mask-compile],cuda,,20,eq,True,0.15,UnsortedDictionaryEncoding,True,100000000,10000,0001,FilterScan,Eq,mIsT18cymR,100000000,14998502,20,2000000000,,,0.0007693599909543991,0.00460710097104311,0.00077819901804578,0.00010758587952185936,0.0007743790047243237,2.3475586203858256e-06,3;105,1285.0183266887288,1273,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e08-1e4-20-lt-0.15-cuda-UnsortedCDictionaryEncoding-mask-compile],cuda,,20,lt,True,0.15,UnsortedCDictionaryEncoding,True,100000000,10000,0002,FilterScan,Lt,4fWEtaxdmlMv2,100000000,14999627,20,2000000000,,,0.0007698900299146771,0.004123352991882712,0.0007785376910128341,9.439009759511027e-05,0.0007750410004518926,3.506953362375498e-06,4;62,1284.4593287436808,1266,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e08-1e4-20-lt-0.15-cuda-UnsortedDictionaryEncoding-mask-compile],cuda,,20,lt,True,0.15,UnsortedDictionaryEncoding,True,100000000,10000,0002,FilterScan,Lt,4fWEtaxdmlMv2,100000000,14999627,20,2000000000,,,0.000770552025642246,0.0013042750069871545,0.0007768683076478137,1.756482271534812e-05,0.0007753809913992882,2.831511665135622e-06,8;85,1287.219455544248,1272,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e08-1e4-20-prefix-0.15-cuda-CPlainEncoding-mask-compile],cuda,,20,prefix,True,0.15,CPlainEncoding,True,100000000,10000,0003,FilterScan,Prefix,22ITAtgWvP,100000000,14999627,20,2000000000,,,0.0008489910396747291,0.004217442008666694,0.0008558194213263505,9.858406792166493e-05,0.0008524279692210257,1.8747377907857299e-06,2;72,1168.4707954514495,1167,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e08-1e4-20-eq-0.15-cuda-DictionaryEncoding-mask-compile],cuda,,20,eq,True,0.15,DictionaryEncoding,True,100000000,10000,0001,FilterScan,Eq,mIsT18cymR,100000000,14998502,20,2000000000,,,0.0008760420023463666,0.004302082001231611,0.0008867642566189336,0.00010269524128985914,0.0008823095122352242,4.7889770939946175e-06,3;49,1127.6954303647883,1118,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e08-1e4-20-prefix-0.15-cuda-DictionaryEncoding-mask-compile],cuda,,20,prefix,True,0.15,DictionaryEncoding,True,100000000,10000,0003,FilterScan,Prefix,22ITAtgWvP,100000000,14999627,20,2000000000,,,0.0008767230319790542,0.00497903604991734,0.0008873133819811113,0.00012287952007435698,0.0008826044795569032,4.408997483551502e-06,1;43,1126.9975414630765,1114,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e08-1e4-20-eq-0.15-cuda-DictionaryEncoding-mask-eager],cuda,,20,eq,True,0.15,DictionaryEncoding,False,100000000,10000,0001,FilterScan,Eq,mIsT18cymR,100000000,14998502,20,2000000000,,,0.0008804909884929657,0.004841416026465595,0.0008913058021786535,0.00011792056438218427,0.0008869119919836521,3.7170248106122017e-06,1;54,1121.9493888132008,1126,1
